-1996,-5
-178,-10
1740,-9
2781,-11
2420,-12
821,-11
-1184,-12
-2564,-8
-2651,-8
-1383,-9
598,-9
2278,-13
2814,-10
1930,-10
47,-10
-1832,-13
-2767,-11
-2306,-7
-663,-10
1323,-8
2647,-8
2638,-9
1282,-9
-722,-9
-2336,-11
-2762,-10
-1792,-9
105,-13
1952,-9
2818,-8
2262,-9
544,-9
-1436,-10
-2659,-7
-2550,-12
-1134,-9
869,-10
2434,-12
2775,-8
1708,-12
-236,-9
-2034,-10
-2790,-6
-2140,-8
-384,-7
1570,-8
2730,-10
2525,-9
1019,-7
-994,-9
-2476,-9
-2707,-6
-1561,-10
388,-11
2147,-10
2824,-9
2075,-10
261,-9
-1666,-10
-2730,-12
-2424,-8
-871,-10
1136,-9
2567,-9
2707,-10
1471,-7
-518,-10
-2214,-6
-2784,-8
-1947,-10
-102,-11
1797,-11
2789,-11
2384,-13
753,-9
-1250,-6
-2592,-9
-2626,-8
-1324,-10
669,-9
2320,-11
2805,-6
1872,-8
-25,-7
-1885,-9
-2774,-11
-2274,-10
-594,-10
1387,-12
2671,-7
2612,-10
1224,-11
-790,-12
-2375,-12
-2752,-12
-1732,-9
177,-11
2004,-13
2822,-10
2218,-9
476,-9
-1495,-5
-2679,-8
-2522,-11
-1067,-10
935,-10
2466,-7
2759,-11
1649,-10
-307,-12
-2084,-11
-2790,-13
-2097,-9
-321,-9
1626,-13
2747,-13
2491,-11
954,-9
-1056,-8
-2507,-10
-2690,-11
-1506,-9
459,-8
2194,-11
2823,-8
2029,-10
192,-8
-1722,-9
-2745,-10
-2387,-9
-798,-10
1199,-10
2595,-12
2686,-10
1411,-8
-584,-11
-2252,-10
-2778,-11
-1897,-12
-33,-11
1853,-11
2798,-7
2343,-9
684,-10
-1314,-7
-2616,-12
-2602,-9
-1259,-10
739,-7
2357,-10
2797,-13
1817,-9
-94,-10
-1931,-9
-2784,-8
-2227,-13
-527,-9
1450,-9
2690,-12
2587,-13
1157,-9
-858,-8
-2408,-11
-2738,-11
-1677,-10
248,-8
2052,-9
2826,-11
2174,-10
404,-12
-1552,-8
-2698,-8
-2491,-11
-1003,-9
1005,-10
2502,-9
2745,-11
1596,-13
-377,-10
-2122,-10
-2790,-8
-2050,-10
-247,-10
1688,-10
2763,-10
2457,-11
889,-13
-1123,-11
-2534,-8
-2666,-9
-1448,-10
532,-7
2240,-11
2818,-8
1980,-9
119,-7
-1776,-8
-2757,-10
-2347,-9
-730,-10
1261,-9
2619,-8
2667,-9
1349,-8
-653,-9
-2297,-8
-2772,-10
-1843,-11
32,-11
1903,-10
2813,-12
2304,-9
615,-10
-1369,-10
-2639,-8
-2576,-11
-1196,-9
803,-8
2399,-11
2788,-9
1764,-7
-161,-12
-1983,-11
-2785,-11
-2185,-8
-453,-12
1513,-10
2714,-10
2555,-9
1089,-9
-924,-8
-2443,-8
-2722,-3
-1623,-9
320,-10
2100,-10
2826,-7
2123,-9
335,-9
-1610,-12
-2715,-7
-2453,-8
-935,-11
1073,-9
2534,-10
2727,-9
1535,-12
-443,-10
-2171,-10
-2790,-11
-1997,-10
-177,-7
1743,-9
2778,-8
2422,-14
823,-8
-1185,-10
-2565,-10
-2647,-10
-1384,-11
598,-10
2278,-11
2815,-8
1928,-9
49,-12
-1829,-11
-2766,-14
-2307,-7
-662,-14
1325,-10
2644,-10
2641,-10
1287,-9
-726,-11
-2336,-11
-2760,-9
-1790,-10
110,-9
1954,-8
2816,-11
2260,-9
547,-9
-1436,-11
-2663,-7
-2547,-13
-1133,-12
873,-13
2436,-10
2777,-10
